Município,Classificação,Funcionarios
Itajubá,Agência e Operadores,7
Itajubá,Hospedagem,146
Itajubá,Alimentação,1154
Itamogi,Transportes,1
Itamogi,Hospedagem,-1
Itamogi,Alimentação,40
Itamogi,Entretenimento,11
Itamogi,Comércio e Serviços,3
Itamogi,Agência e Operadores,0
Itamonte,Entretenimento,20
Itamonte,Transportes,3
Itamonte,Alimentação,96
Itamonte,Comércio e Serviços,71
Itamonte,Agência e Operadores,0
Itamonte,Hospedagem,55
Itanhandu,Transportes,3
Itanhandu,Comércio e Serviços,39
Itanhandu,Entretenimento,9
Itanhandu,Agência e Operadores,0
Itanhandu,Alimentação,47
Itanhandu,Hospedagem,22
Paraisópolis,Transportes,66
Paraisópolis,Alimentação,117
Paraisópolis,Entretenimento,13
Paraisópolis,Comércio e Serviços,58
Paraisópolis,Agência e Operadores,0
Paraisópolis,Hospedagem,45
Itapeva,Transportes,8
Itapeva,Alimentação,191
Itapeva,Entretenimento,8
Itapeva,Comércio e Serviços,532
Itapeva,Agência e Operadores,0
Itapeva,Hospedagem,155
Itaú de Minas,Alimentação,64
Itaú de Minas,Transportes,23
Itaú de Minas,Hospedagem,9
Itaú de Minas,Entretenimento,17
Itaú de Minas,Comércio e Serviços,21
Itaú de Minas,Agência e Operadores,3
Jacuí,Comércio e Serviços,5
Jacuí,Transportes,0
Jacuí,Hospedagem,0
Jacuí,Alimentação,8
Jacuí,Entretenimento,6
Jacuí,Agência e Operadores,0
Jacutinga,Transportes,34
Jacutinga,Comércio e Serviços,43
Jacutinga,Entretenimento,169
Jacutinga,Agência e Operadores,2
Jacutinga,Hospedagem,32
Jacutinga,Alimentação,178
Jesuânia,Comércio e Serviços,5
Jesuânia,Transportes,0
Jesuânia,Hospedagem,0
Jesuânia,Alimentação,2
Jesuânia,Entretenimento,2
Jesuânia,Agência e Operadores,0
Juruaia,Transportes,0
Juruaia,Alimentação,38
Juruaia,Entretenimento,6
Juruaia,Comércio e Serviços,13
Juruaia,Agência e Operadores,0
Juruaia,Hospedagem,4
Lambari,Transportes,50
Lambari,Alimentação,190
Lambari,Entretenimento,33
Lambari,Hospedagem,89
Lambari,Comércio e Serviços,71
Lambari,Agência e Operadores,0
Liberdade,Comércio e Serviços,12
Liberdade,Transportes,0
Liberdade,Alimentação,0
Liberdade,Entretenimento,4
Liberdade,Agência e Operadores,0
Liberdade,Hospedagem,0
Maria da Fé,Comércio e Serviços,29
Maria da Fé,Entretenimento,169
Maria da Fé,Transportes,4
Maria da Fé,Agência e Operadores,0
Maria da Fé,Alimentação,24
Maria da Fé,Hospedagem,11
Machado,Transportes,54
Machado,Hospedagem,28
Machado,Entretenimento,57
Machado,Comércio e Serviços,151
Machado,Agência e Operadores,0
Machado,Alimentação,208
Marmelópolis,Comércio e Serviços,2
Marmelópolis,Transportes,0
Marmelópolis,Alimentação,1
Marmelópolis,Entretenimento,2
Marmelópolis,Agência e Operadores,0
Marmelópolis,Hospedagem,0
Minduri,Comércio e Serviços,6
Minduri,Transportes,1
Minduri,Hospedagem,0
Minduri,Alimentação,8
Minduri,Entretenimento,2
Minduri,Agência e Operadores,0
Monsenhor Paulo,Comércio e Serviços,19
Monsenhor Paulo,Transportes,1
Monsenhor Paulo,Hospedagem,2
Monsenhor Paulo,Entretenimento,5
Monsenhor Paulo,Agência e Operadores,0
Monsenhor Paulo,Alimentação,2
Monte Belo,Alimentação,15
Monte Belo,Comércio e Serviços,3
Monte Belo,Transportes,10
Monte Belo,Hospedagem,3
Monte Belo,Entretenimento,19
Monte Belo,Agência e Operadores,3
Monte Santo de Minas,Transportes,1
Monte Santo de Minas,Hospedagem,22
Monte Santo de Minas,Entretenimento,15
Monte Santo de Minas,Comércio e Serviços,53
Monte Santo de Minas,Agência e Operadores,0
Monte Santo de Minas,Alimentação,89
Munhoz,Comércio e Serviços,7
Munhoz,Transportes,0
Munhoz,Hospedagem,1
Munhoz,Alimentação,3
